Categoria,Producto_ID,Producto_Nombre,Sucursal,Fecha,Ventas,Unidades,Precio
Electrónica,201,Laptop,Norte,2024-01-01,8270,52,159.04
Electrónica,201,Laptop,Norte,2024-01-02,1860,15,124.0
Electrónica,201,Laptop,Norte,2024-01-03,6191,61,101.49
Electrónica,201,Laptop,Norte,2024-01-04,6734,83,81.13
Electrónica,201,Laptop,Norte,2024-01-05,5426,75,72.35
Electrónica,201,Laptop,Norte,2024-01-06,9322,22,423.73
Electrónica,201,Laptop,Norte,2024-01-07,1769,88,20.1
Electrónica,201,Laptop,Norte,2024-01-08,7949,2,3974.5
Electrónica,201,Laptop,Norte,2024-01-09,6311,60,105.18
Electrónica,201,Laptop,Norte,2024-01-10,7420,33,224.85
Ropa,202,Camisa,Norte,2024-01-01,5555,58,95.78
Ropa,202,Camisa,Norte,2024-01-02,7396,89,83.1
Ropa,202,Camisa,Norte,2024-01-03,9666,59,163.83
Ropa,202,Camisa,Norte,2024-01-04,3558,42,84.71
Ropa,202,Camisa,Norte,2024-01-05,3047,92,33.12
Ropa,202,Camisa,Norte,2024-01-06,3747,80,46.84
Ropa,202,Camisa,Norte,2024-01-07,1189,62,19.18
Ropa,202,Camisa,Norte,2024-01-08,3734,62,60.23
Ropa,202,Camisa,Norte,2024-01-09,5658,55,102.87
Ropa,202,Camisa,Norte,2024-01-10,2267,64,35.42
Alimentos,203,Manzanas,Norte,2024-01-01,2528,3,842.67
Alimentos,203,Manzanas,Norte,2024-01-02,4556,51,89.33
Alimentos,203,Manzanas,Norte,2024-01-03,9838,21,468.48
Alimentos,203,Manzanas,Norte,2024-01-04,6393,4,1598.25
Alimentos,203,Manzanas,Norte,2024-01-05,9792,60,163.2
Alimentos,203,Manzanas,Norte,2024-01-06,9433,9,1048.11
Alimentos,203,Manzanas,Norte,2024-01-07,8513,53,160.62
Alimentos,203,Manzanas,Norte,2024-01-08,8041,84,95.73
Alimentos,203,Manzanas,Norte,2024-01-09,7235,60,120.58
Alimentos,203,Manzanas,Norte,2024-01-10,1775,47,37.77
Electrónica,201,Laptop,Sur,2024-01-01,9226,78,118.28
Electrónica,201,Laptop,Sur,2024-01-02,4152,36,115.33
Electrónica,201,Laptop,Sur,2024-01-03,2585,4,646.25
Electrónica,201,Laptop,Sur,2024-01-04,4073,6,678.83
Electrónica,201,Laptop,Sur,2024-01-05,4843,54,89.69
Electrónica,201,Laptop,Sur,2024-01-06,7873,44,178.93
Electrónica,201,Laptop,Sur,2024-01-07,1161,74,15.69
Electrónica,201,Laptop,Sur,2024-01-08,1995,14,142.5
Electrónica,201,Laptop,Sur,2024-01-09,8629,87,99.18
Electrónica,201,Laptop,Sur,2024-01-10,2016,62,32.52
Ropa,202,Camisa,Sur,2024-01-01,7439,85,87.52
Ropa,202,Camisa,Sur,2024-01-02,7863,82,95.89
Ropa,202,Camisa,Sur,2024-01-03,1878,53,35.43
Ropa,202,Camisa,Sur,2024-01-04,5887,26,226.42
Ropa,202,Camisa,Sur,2024-01-05,5859,60,97.65
Ropa,202,Camisa,Sur,2024-01-06,9571,41,233.44
Ropa,202,Camisa,Sur,2024-01-07,6276,15,418.4
Ropa,202,Camisa,Sur,2024-01-08,1064,89,11.96
Ropa,202,Camisa,Sur,2024-01-09,9006,9,1000.67
Ropa,202,Camisa,Sur,2024-01-10,6463,1,6463.0
Alimentos,203,Manzanas,Sur,2024-01-01,3027,8,378.38
Alimentos,203,Manzanas,Sur,2024-01-02,6258,81,77.26
Alimentos,203,Manzanas,Sur,2024-01-03,1391,35,39.74
Alimentos,203,Manzanas,Sur,2024-01-04,6892,41,168.1
Alimentos,203,Manzanas,Sur,2024-01-05,4099,7,585.57
Alimentos,203,Manzanas,Sur,2024-01-06,9392,72,130.44
Alimentos,203,Manzanas,Sur,2024-01-07,4104,48,85.5
Alimentos,203,Manzanas,Sur,2024-01-08,3454,62,55.71
Alimentos,203,Manzanas,Sur,2024-01-09,9996,99,100.97
Alimentos,203,Manzanas,Sur,2024-01-10,3731,86,43.38
Electrónica,201,Laptop,Este,2024-01-01,9154,35,261.54
Electrónica,201,Laptop,Este,2024-01-02,6056,99,61.17
Electrónica,201,Laptop,Este,2024-01-03,9110,78,116.79
Electrónica,201,Laptop,Este,2024-01-04,4840,5,968.0
Electrónica,201,Laptop,Este,2024-01-05,8385,14,598.93
Electrónica,201,Laptop,Este,2024-01-06,7938,9,882.0
Electrónica,201,Laptop,Este,2024-01-07,1206,15,80.4
Electrónica,201,Laptop,Este,2024-01-08,6977,42,166.12
Electrónica,201,Laptop,Este,2024-01-09,8035,77,104.35
Electrónica,201,Laptop,Este,2024-01-10,8858,63,140.6
Ropa,202,Camisa,Este,2024-01-01,1863,52,35.83
Ropa,202,Camisa,Este,2024-01-02,6116,96,63.71
Ropa,202,Camisa,Este,2024-01-03,7019,94,74.67
Ropa,202,Camisa,Este,2024-01-04,8574,15,571.6
Ropa,202,Camisa,Este,2024-01-05,4242,29,146.28
Ropa,202,Camisa,Este,2024-01-06,2059,13,158.38
Ropa,202,Camisa,Este,2024-01-07,4157,28,148.46
Ropa,202,Camisa,Este,2024-01-08,3693,28,131.89
Ropa,202,Camisa,Este,2024-01-09,4627,84,55.08
Ropa,202,Camisa,Este,2024-01-10,6450,92,70.11
Alimentos,203,Manzanas,Este,2024-01-01,6592,62,106.32
Alimentos,203,Manzanas,Este,2024-01-02,8392,1,8392.0
Alimentos,203,Manzanas,Este,2024-01-03,2306,62,37.19
Alimentos,203,Manzanas,Este,2024-01-04,7776,77,100.99
Alimentos,203,Manzanas,Este,2024-01-05,6864,3,2288.0
Alimentos,203,Manzanas,Este,2024-01-06,8526,70,121.8
Alimentos,203,Manzanas,Este,2024-01-07,6575,27,243.52
Alimentos,203,Manzanas,Este,2024-01-08,5413,37,146.3
Alimentos,203,Manzanas,Este,2024-01-09,1663,79,21.05
Alimentos,203,Manzanas,Este,2024-01-10,8994,32,281.06
Electrónica,201,Laptop,Oeste,2024-01-01,2495,52,47.98
Electrónica,201,Laptop,Oeste,2024-01-02,6232,62,100.52
Electrónica,201,Laptop,Oeste,2024-01-03,7585,52,145.87
Electrónica,201,Laptop,Oeste,2024-01-04,2291,39,58.74
Electrónica,201,Laptop,Oeste,2024-01-05,8554,56,152.75
Electrónica,201,Laptop,Oeste,2024-01-06,1698,2,849.0
Electrónica,201,Laptop,Oeste,2024-01-07,5737,92,62.36
Electrónica,201,Laptop,Oeste,2024-01-08,1854,96,19.31
Electrónica,201,Laptop,Oeste,2024-01-09,8392,1,8392.0
Electrónica,201,Laptop,Oeste,2024-01-10,6249,53,117.91
Ropa,202,Camisa,Oeste,2024-01-01,2707,90,30.08
Ropa,202,Camisa,Oeste,2024-01-02,6791,70,97.01
Ropa,202,Camisa,Oeste,2024-01-03,6535,68,96.1
Ropa,202,Camisa,Oeste,2024-01-04,4510,75,60.13
Ropa,202,Camisa,Oeste,2024-01-05,5218,17,306.94
Ropa,202,Camisa,Oeste,2024-01-06,9958,38,262.05
Ropa,202,Camisa,Oeste,2024-01-07,3327,69,48.22
Ropa,202,Camisa,Oeste,2024-01-08,3931,98,40.11
Ropa,202,Camisa,Oeste,2024-01-09,1197,86,13.92
Ropa,202,Camisa,Oeste,2024-01-10,2930,16,183.12
Alimentos,203,Manzanas,Oeste,2024-01-01,9800,73,134.25
Alimentos,203,Manzanas,Oeste,2024-01-02,5282,70,75.46
Alimentos,203,Manzanas,Oeste,2024-01-03,3511,93,37.75
Alimentos,203,Manzanas,Oeste,2024-01-04,1659,59,28.12
Alimentos,203,Manzanas,Oeste,2024-01-05,7546,90,83.84
Alimentos,203,Manzanas,Oeste,2024-01-06,2986,19,157.16
Alimentos,203,Manzanas,Oeste,2024-01-07,3911,71,55.08
Alimentos,203,Manzanas,Oeste,2024-01-08,2843,33,86.15
Alimentos,203,Manzanas,Oeste,2024-01-09,2959,39,75.87
Alimentos,203,Manzanas,Oeste,2024-01-10,3385,1,3385.0
